"divipola","departamento","municipio","vigencia","femenino","masculino","no binario","género no responde","primera infancia 0 a 5 años","infancia 6 a 11 años","adolescencia 12 a 17 años","juventud 18 a 29 años","adultez 29 a 59 años","personas mayores 60 o más años","negros, afrocolombianos, raizales y palenqueros","indígenas","rrom","urbano","rural","LGBTIQ+","personas con discapacidad","personas defensoras de derechos humanos y liderazgo social","personas campesinas","persona en proceso de reincorporacion","víctimas","total personas de atendidas","Centroide del municipio"
"05364","Antioquia","Jardín","2,024","160","166","0","0","2","202","119","2","1","0","0","1","0","0","0","0","5","0","0","0","0","326","POINT (-75.818982 5.597542)"
"66440","Risaralda","Marsella","2,024","429","460","0","0","7","421","422","38","1","0","3","235","0","0","0","0","12","0","0","0","0","889","POINT (-75.738576 4.935559)"
"52381","Nariño","La Florida","2,024","3","3","0","2","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","8","POINT (-77.407372 1.299257)"
"05059","Antioquia","Armenia","2,023","88","78","0","0","0","91","64","1","10","0","10","5","0","0","0","0","1","0","0","0","0","166","POINT (-75.787072 6.155889)"
"05690","Antioquia","Santo Domingo","2,026","174","163","0","0","20","243","74","0","0","0","0","0","0","0","0","0","0","0","337","0","0","337","POINT (-75.167142 6.475646)"
"08558","Atlántico","Polonuevo","2,026","103","137","0","0","0","127","113","0","0","0","2","0","0","0","0","0","2","0","0","0","0","240","POINT (-74.854029 10.777894)"
"13442","Bolívar","María la Baja","2,026","400","320","0","0","13","386","318","3","0","0","720","0","0","0","0","0","0","0","120","0","0","720","POINT (-75.300528 9.982441)"
"70429","Sucre","Majagual","2,026","121","98","0","0","0","60","157","2","0","0","0","0","0","0","0","0","0","0","219","0","0","219","POINT (-74.628077 8.541163)"
"15455","Boyacá","Miraflores","2,023","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","POINT (-73.14563 5.196515)"
"41548","Huila","Pital","2,025","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","POINT (-75.805174 2.26752)"
"15212","Boyacá","Coper","2,026","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","POINT (-74.045636 5.475074)"
"25324","Cundinamarca","Guataquí","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.790058 4.517517)"
"25506","Cundinamarca","Venecia","2,024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.478301 4.089056)"
"05353","Antioquia","Hispania","2,025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.906587 5.799461)"
"25596","Cundinamarca","Quipile","2,025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.533705 4.74481)"
"41885","Huila","Yaguará","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.518023 2.664694)"
"50287","Meta","Fuentedeoro","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-73.618121 3.462875)"
"76736","Valle del Cauca","Sevilla","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-75.930941 4.267033)"
"91669","Amazonas","Puerto Santander (Anm)","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-72.384213 -0.621184)"
"94884","Guainía","Puerto Colombia (Anm)","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-67.566774 2.726438)"
"70204","Sucre","Colosó","2,025","180","241","0","0","12","305","100","3","1","0","0","1","0","0","0","0","8","0","227","0","0","421","POINT (-75.353256 9.494192)"
"25181","Cundinamarca","Choachí","2,025","148","151","0","2","44","144","99","2","8","4","0","0","0","0","0","0","7","0","225","0","0","301","POINT (-73.922894 4.527048)"
"25506","Cundinamarca","Venecia","2,025","7","0","0","0","0","0","0","0","7","0","2","0","0","0","0","0","5","0","3","0","0","7","POINT (-74.478301 4.089056)"
"13654","Bolívar","San Jacinto","2,024","218","262","0","1","1","340","129","5","4","2","111","0","0","0","0","0","0","0","0","0","0","481","POINT (-75.12105 9.830275)"
"25293","Cundinamarca","Gachalá","2,024","7","3","0","0","0","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","10","POINT (-73.520161 4.693579)"
"70742","Sucre","San Luis de Sincé","2,024","6","1","0","1","0","0","0","6","2","0","0","2","0","0","0","1","0","0","0","0","0","8","POINT (-75.145995 9.244307)"
"15466","Boyacá","Monguí","2,023","107","94","0","0","199","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","201","POINT (-72.849292 5.723486)"
"47001","Magdalena","Santa Marta","2,023","167","164","2","0","0","119","164","19","25","6","3","3","0","0","0","0","1","0","0","0","0","333","POINT (-74.200077 11.204685)"
"70235","Sucre","Galeras","2,023","15","17","0","0","0","0","0","22","10","0","3","3","0","0","0","0","0","0","0","0","0","32","POINT (-75.048576 9.159583)"
"52210","Nariño","Contadero","2,023","4","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","4","POINT (-77.549409 0.910458)"
"66045","Risaralda","Apía","2,023","1","2","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","3","POINT (-75.941931 5.105739)"
"73226","Tolima","Cunday","2,023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.692227 4.059259)"
"17867","Caldas","Victoria","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.911239 5.317437)"
"25518","Cundinamarca","Paime","2,026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-74.152213 5.370487)"
"86571","Putumayo","Puerto Guzmán","2,025","576","613","0","0","82","677","409","21","0","0","18","316","0","0","0","0","10","0","787","0","0","1,189","POINT (-76.407274 0.962684)"
"13654","Bolívar","San Jacinto","2,025","475","424","0","0","11","602","279","2","5","0","145","0","0","0","0","0","0","0","276","0","0","899","POINT (-75.12105 9.830275)"
"73408","Tolima","Lérida","2,025","161","169","0","0","24","132","170","4","0","0","0","0","0","0","0","0","7","0","0","0","0","330","POINT (-74.910716 4.862046)"
"25394","Cundinamarca","La Palma","2,025","54","49","0","0","7","52","34","3","7","0","0","0","0","0","0","0","0","0","0","0","0","103","POINT (-74.391022 5.358816)"
"05129","Antioquia","Caldas","2,025","319","338","0","0","2","541","109","2","3","0","0","0","0","0","0","0","0","0","0","0","0","657","POINT (-75.633619 6.091296)"
"54599","Norte de Santander","Ragonvalia","2,024","10","4","0","0","0","0","0","2","12","0","0","0","0","0","0","0","0","0","0","0","0","14","POINT (-72.476708 7.577861)"
