city,department,region,population,avg_salary_cop,area_km2,gdp_per_capita_cop,unemployment_rate,universities,hospitals,avg_temp_celsius,salary_usd,density,category
Bogotá,Cundinamarca,Centro,8000000,4500000,1587,28000000,10.2,45,120,14,1125.0,5040.957781978576,major
Medellín,Antioquia,Occidente,2500000,3800000,380,22000000,12.1,28,65,22,950.0,6578.9473684210525,major
Cali,Valle del Cauca,Occidente,2200000,3100000,564,15000000,14.5,22,58,24,775.0,3900.709219858156,major
Barranquilla,Atlántico,Caribe,1200000,3400000,154,18000000,11.3,18,42,30,850.0,7792.207792207792,major
Cartagena,Bolívar,Caribe,1000000,2900000,609,14000000,13.8,12,35,28,725.0,1642.0361247947455,major
Bucaramanga,Santander,Oriente,600000,3200000,165,19000000,9.8,15,28,23,800.0,3636.3636363636365,medium
Cúcuta,Norte de Santander,Oriente,750000,2500000,1176,11000000,16.2,8,22,29,625.0,637.7551020408164,medium
Ibagué,Tolima,Centro,580000,2700000,1439,12000000,13.1,9,20,24,675.0,403.0576789437109,medium
Santa Marta,Magdalena,Caribe,520000,2600000,2393,13000000,15.4,10,18,30,650.0,217.3004596740493,medium
Manizales,Caldas,Occidente,430000,2900000,508,17000000,11.7,14,24,18,725.0,846.4566929133858,minor
Pereira,Risaralda,Occidente,500000,2800000,702,16000000,12.3,12,21,21,700.0,712.2507122507122,medium
Villavicencio,Meta,Oriente,470000,3000000,1328,14000000,10.9,7,19,26,750.0,353.9156626506024,minor
Pasto,Nariño,Sur,450000,2400000,1181,10000000,14.8,11,22,14,600.0,381.03302286198135,minor
Montería,Córdoba,Caribe,490000,2600000,3141,11000000,15.1,6,18,28,650.0,156.00127347978352,minor
Neiva,Huila,Sur,340000,2700000,1553,12000000,13.6,8,16,27,675.0,218.9311010946555,minor
Armenia,Quindío,Occidente,310000,2800000,230,15000000,12.8,10,14,20,700.0,1347.8260869565217,minor
Sincelejo,Sucre,Caribe,280000,2400000,284,10000000,16.5,5,13,29,600.0,985.9154929577464,minor
Popayán,Cauca,Sur,340000,2500000,512,11000000,14.2,9,17,18,625.0,664.0625,minor
Valledupar,Cesar,Caribe,480000,2600000,3745,13000000,13.9,7,15,30,650.0,128.17089452603471,minor
Tunja,Boyacá,Centro,210000,2700000,118,14000000,11.4,13,18,13,675.0,1779.6610169491526,minor
